"","x"
"1","1__169847775__169858031"
"2","1__169796192__169796340"
"3","1__196645119__196659369"
"4","1__196711005__196715129"
"5","1__24786971__24790610"
"6","1__23381562__23384058"
"7","1__23356962__23385660"
"8","1__23376880__23385660"
"9","1__23381562__23399896"
"10","1__113140593__113159517"
"11","1__1635478__1635585"
"12","1__115277063__115277144"
"13","1__11090233__11106790"
"14","1__28056743__28086138"
"15","1__41536267__41541123"
"16","1__41578955__41582682"
"17","1__41578955__41608784"
"18","1__94360170__94363454"
"19","1__94360170__94367225"
"20","1__32622454__32623962"
"21","1__32622947__32623962"
"22","1__32627548__32628914"
"23","1__244574589__244581054"
"24","1__19644094__19644335"
"25","1__12378129__12382803"
"26","1__12409221__12475274"
"27","1__241767562__241767881"
"28","1__10412689__10435431"
"29","1__179306972__179310445"
"30","1__179310163__179310445"
"31","1__179311249__179312770"
"32","1__179314082__179318077"
"33","1__179316735__179318077"
"34","1__179317979__179318077"
"35","1__179316735__179319566"
"36","1__203676137__203677232"
"37","1__203672780__203689868"
"38","1__203676990__203690538"
"39","1__203676137__203696699"
"40","1__203786054__203787817"
"41","1__54252831__54293846"
"42","1__54266366__54298264"
"43","1__29586382__29586556"
"44","1__29637968__29639218"
"45","1__31740718__31764853"
"46","1__89236035__89237562"
"47","1__89236035__89251896"
"48","1__16263658__16264501"
"49","1__43161870__43162615"
"50","1__212515530__212521839"
"51","1__44131367__44149475"
"52","1__44132123__44154766"
"53","1__41178070__41189464"
"54","1__41189361__41189464"
"55","1__197091518__197094085"
"56","1__197091518__197098447"
"57","1__197091518__197101482"
"58","1__93159359__93170301"
"59","1__93029199__93202184"
"60","1__93167698__93202184"
"61","1__93201955__93202184"
"62","1__2100957__2105455"
"63","1__229619801__229634053"
"64","1__22404922__22413359"
"65","1__8922946__8925541"
"66","1__8923950__8925541"
"67","1__8922946__8927309"
"68","1__8926338__8927309"
"69","1__8923294__8928116"
"70","1__8928047__8932045"
"71","1__8925344__8934976"
"72","1__8931950__8934976"
"73","1__17907048__17907127"
"74","1__17907048__17914140"
"75","1__17907048__17914974"
"76","1__17907048__17930086"
