"","x"
"1","1__169847775__169858031"
"2","1__169796192__169796340"
"3","1__196645119__196659369"
"4","1__196711005__196715129"
"5","1__24786971__24790610"
"6","1__23356962__23377013"
"7","1__23381562__23384058"
"8","1__23356962__23385660"
"9","1__23376880__23385660"
"10","1__23381562__23399896"
"11","1__113140593__113159517"
"12","1__1635478__1635585"
"13","1__115277063__115277144"
"14","1__11090233__11106790"
"15","1__28056743__28086138"
"16","1__41512079__41541123"
"17","1__41536267__41541123"
"18","1__41578955__41582682"
"19","1__41578955__41608784"
"20","1__24119641__24120242"
"21","1__94360170__94363454"
"22","1__94360170__94367225"
"23","1__32622454__32623962"
"24","1__32622947__32623962"
"25","1__32627548__32628914"
"26","1__244574589__244581054"
"27","1__19644094__19644335"
"28","1__12378129__12382803"
"29","1__12409221__12475274"
"30","1__241767562__241767881"
"31","1__10412689__10435431"
"32","1__179306972__179310445"
"33","1__179310163__179310445"
"34","1__179311249__179312770"
"35","1__179314082__179318077"
"36","1__179316735__179318077"
"37","1__179317979__179318077"
"38","1__179316735__179319566"
"39","1__203676137__203677232"
"40","1__203672780__203689868"
"41","1__203676990__203690538"
"42","1__203689677__203690538"
"43","1__203676137__203696699"
"44","1__203786054__203787817"
"45","1__54252831__54254869"
"46","1__54252831__54293846"
"47","1__54266366__54298264"
"48","1__29586382__29586556"
"49","1__29581787__29618538"
"50","1__29637968__29639218"
"51","1__31740718__31764853"
"52","1__31764760__31766195"
"53","1__89236035__89237562"
"54","1__89236035__89251896"
"55","1__16202697__16237796"
"56","1__16263658__16264501"
"57","1__43161870__43162615"
"58","1__212515530__212521839"
"59","1__44131367__44149475"
"60","1__44132123__44154766"
"61","1__41178070__41189464"
"62","1__41189361__41189464"
"63","1__197091518__197094085"
"64","1__197091518__197097795"
"65","1__197091518__197098447"
"66","1__197091518__197101482"
"67","1__93159359__93170301"
"68","1__93029199__93202184"
"69","1__93167698__93202184"
"70","1__93201955__93202184"
"71","1__2100957__2105455"
"72","1__229619801__229634053"
"73","1__22404922__22413359"
"74","1__8922946__8925541"
"75","1__8923950__8925541"
"76","1__8922946__8927309"
